Endereço,Mês/ano,Valor da OOAU,Termo de compromisso,Pagamento,O que outorgou,Altura proposta,Observações
"Rua Tomás IIdefonso, nº 125, quadra 05, bairro Cambeba",31/03/2021,"R$ 96.242,54",sim,"Pagamento Concluído, processo arquivado","IA = 0,20 pela OODC e
Recuos =
444,01m²","10,51 m (zona com gabarito 48m)",Clínica de diálise Pronefron
"Av. Antonio Justa, 2736, Bairro Meireles",31/03/2021,"R$ 13.405.667,44",sim,"Pagamento Concluído, processo arquivado","IA =  5,21; TO
subsolo =
4,82%; AE =
70,74m e
Recuos =
1.088,25 m²","142,74 m (zona com gabarito 72m)",Residencial Multifamiliar - Edifício Edge
"Rua Doutor Gilberto Studart, nº 1589, bairro Cocó",31/03/2021,"R$2.099.464,62",sim,"Em andamento, em fase de pagamento","IA = 1,50; AE = 31,68m e
Recuos =
118,91m²","103,68 m (zona com gabarito 72m)",Victoria Park Residence
"Rua Libaneses, n° 197, lote 1, quadra 6, Bairro Presidente Kennedy",31/03/2021,"R$ 258.466,82",sim,"Pagamento Concluído,
processo arquivado","AE = 17,44m","65,44 m (GABARITO 48m)",Jardino Passeio Kennedy
"Rua Monsenhor Bruno, nº 647, bairro Meireles",31/03/2021,"R$ 4.268.303,23",Sim,"Pagamento Concluído, processo arquivado","IA =  2,39; AE = 29,29m e
Recuos =
421,38 m²","101,29m (gabarito 72m)",Beach Class Meireles
"Rua Bento Albuquerque, n° 536, bairro Cocó",29/09/2021,"R$ 2.529.066,47",sim,"Pagamento Concluído, processo arquivado","IA =  2,95; TO
subsolo =
10,00%; AE =
47,34m e
Recuos =
300,92m²","119,34m (gabarito 72m)",Edifício Flora
"Rua Canuto de Aguiar, n°150, bairro Meireles,",15/12/2021,"R$ 5.427.741,78",sim,Em andamento,"IA =  4,31; TO
solo = 1,86%; TO subsolo = 14,64%; AE =
43,30m e
Recuos =
774,95m²","115,30m (gabarito 72m)",Nome não obtido - Construtora Colmeia
"Avenida Beira Mar, 2600, conjunto 01, bairro Meireles",15/12/2021,"R$ 11.991.136,31",não,Aguardando assinatura do termo,,"71,56m (gabarito 72m)",reforma e ampliação do hotel Luzeiros - 2ªtorre
"Rua Nunes Valente, n° 300, bairro Meireles",27/05/2022,"R$ 8.947.750,61",sim,"EM ANDAMENTO, EM FASE DE PAGAMENTO","IA = 3,91 e AE = 56,43m","151,43m (gabarito 95m)",Mansão Diogo
"Rua Desembargador Leite Albuquerque, s/n, bairro Aldeota",29/06/2022,"R$ 3.455.465,33",sim,"EM ANDAMENTO, EM FASE DE PAGAMENTO","IA = 1,57 e AE = 19,40m","114,40m (gabarito 95m)",BS Gold
"Rua Pedro Wilson, s/n, bairro Itaperi",29/06/2022,"R$ 425.727,31",sim,"CONCLUÍDO O PAGAMENTO, PROCESSO FINALIZADO","IA = 0,55 e FL = 139 unidades","37,80m (gabarito 48m)",Projeto com 387 unidades - 139 unid. que ultrapassam o máximo permitido
"Avenida Cearenses, n° S/N, bairro Presidente Kennedy",27/07/2022,"R$ 52.103,94",sim,"CONCLUÍDO O PAGAMENTO, PROCESSO FINALIZADO","AE = 4,44m","52,44m (gabarito 48m)",
"Rua Pereira Filgueiras, 1776, bairro Aldeota",27/07/2022,"R$ 8.787.085,77",sim,"EM ANDAMENTO, EM FASE DE PAGAMENTO","IA = 1,66 e AE = 46,58m","118,58m (gabarito 72m)",Casa Boris
"Avenida Beira Mar, n° 2200, bairro Meireles",27/07/2022,"R$ 41.944.659,41",sim,VAI INICIAR O PAGAMENTO QUANDO EMITIR ALVARÁ DE CONSTRUÇÃO,"IA= 7,10; TO solo=0,67%; TO subsolo = 9,71%; AE = 95,58m; recuos= 737,83m²","167,58m (gabarito 72m)",Condomínio Ponta Mar
"Avenida Beira Mar, n° 990, bairro Meireles",06/09/2022,"R$ 16.996.951,11",sim,VAI INICIAR O PAGAMENTO QUANDO EMITIR ALVARÁ DE CONSTRUÇÃO,"IA= 8,41; TO solo=6,12%; TO subsolo = 11,80%; AE=109,32","157,32m (gabarito 48m)",Nome não obtido - Jacuí Empreendimentos Imobiliários
"Avenida Dioguinho, s/n, bairro Praia do Futuro II",06/09/2022,"R$ 489.367,56",sim,"CONCLUÍDO O PAGAMENTO, PROCESSO FINALIZADO","AE = 11,52m","47,52m (gabarito 36m)",
"Rua Gilberto Studart, s/n, bairro Cocó",06/09/2022,"R$ 2.050.610,41",sim,"EM ANDAMENTO, EM FASE DE PAGAMENTO","IA = 1,45; TO subsolo = 7,90%; AE = 58,24m e Recuos = 244,41m²","130,24m (gabarito 72m)",BS Rubi
"Avenida Beira Mar, n° 1696, bairro Meireles",06/09/2022,"R$ 23.502.813,01",sim,"EM ANDAMENTO, EM FASE DE PAGAMENTO","IA = 5,96; TO solo = 13,12%; TO subsolo = 12,62%; AE = 98,85m e Recuos solo = 1.137,65m²","170,85m (gabarito 72m)",Wave Beira Mar
"Rua Alexandre Furtado, s/n, bairro Cocó",26/10/2022,"R$ 2.995.672,27",sim,VAI INICIAR O PAGAMENTO QUANDO EMITIR ALVARÁ DE CONSTRUÇÃO,"IA= 1,24; AE = 41,52m","113,52m (gabarito 72m)",não obtido - EN1 Empreendimento Imobiliário (Construtora Etevaldo Nogueira)
"Avenida Beira Mar, nº 4550, bairro Mucuripe",26/10/2022,"R$ 24.241.872,48",sim,VAI INICIAR O PAGAMENTO QUANDO EMITIR ALVARÁ DE CONSTRUÇÃO,"IA= 3,23; AE = 93,38m","165,38m (gabarito 72m)","Pininfarina Beira Mar. Para a obra estão sendo demolidos, dois hotéis, um restaurante e a última casa da avenida"
"Rua F, Quadra 04 do loteamento residencial Célio Gurgel, s/n, bairro Barroso",30/11/2022,"R$ 805.244,86",sim,"EM ANDAMENTO, EM FASE DE PAGAMENTO",IA = 0.63 e FL = 285 unidades,"35,15m (gabarito 48m)",Residencial Vida Botânica: 285 unidades habitacionais que ultrapassam o permitido - previstas 720 und
"Avenida Dioguinho, s/n, bairro Praia do Futuro II",31/01/2023,"R$ 242.529,06",sim,VAI INICIAR O PAGAMENTO NO PRAZO DO TERMO,"AE = 8,54m","44,54m (gabarito 36m)",
"Rua Israel Bezerra, n° 1130, bairro Dionísio Torres",27/02/2023,"R$ 710.950,44",não,AGUARDANDO A CELEBRAÇÃO DO TERMO DE COMPROMISSO,"IA= 1,0 pela OODC; TO= 5,33; AE=15,57","87,67m (gabarito 72m)",
"Avenida Beira Mar, 2000, bairro Meireles",27/02/2023,"R$ 18.169.894,58 (*)",sim,"EM ANDAMENTO, EM FASE DE PAGAMENTO","IA = 4,40; AE = 98,63m e Recuos solo = 2.729,69m²","170,63m (gabarito 72m)","Antigo Esplanada Hotel. Mesmo edifício do item 5. Projeto foi apresentado em 2016, mas sofreu alterações eo obra não aconteceu. Altura prevista à época seria de 126,74 metros"
"Avenida Rui Barbosa, 901 - Aldeota (entre Pereira Filgueiras e Costa Barros)",31/03/2023,"R$ 8.050.780,84",sim,VAI INICIAR O PAGAMENTO NO PRAZO DO TERMO,"IA = 1,83; TO solo = 5,35%; TO subsolo = 7,87%; AE = 47,84m e Recuos = 249,45m²","119,84 m (gabarito 72m)","Edifício Beach Class Unique. Torre com 38 andares e 492 unidades compactas, com metragens de 28m², 39m², 66m² e 88m²"
"Avenida Beira Mar, 2000, bairro Meireles",26/04/2023,"R$ 118.174,91",não,Agravo de parâmetros (**),,"170,63m",Mesmo edifício do item 3